dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california,A_nearby,1,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale',10.0301,227.0,153.1166,227,143.4537,227.0,14.3,0.6,PASS
california,A_nearby,2,SELECT COUNT(*) FROM data WHERE place = 'Mountain View',8.9769,249.0,152.515,249,152.6533,249.0,17.01,0.41,PASS
california,A_nearby,3,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto',9.996,254.0,159.3699,254,140.1154,254.0,14.02,0.59,PASS
california,A_nearby,4,SELECT COUNT(*) FROM data WHERE place = 'Cupertino',10.641,184.0,153.1371,184,140.6589,184.0,13.22,0.96,PASS
california,A_nearby,5,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 5.0,7.3919,32.0,149.0981,32,141.1916,32.0,19.1,0.6,PASS
california,A_nearby,6,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0,6.5609,15.0,156.2495,15,139.0437,15.0,21.19,0.6,PASS
california,A_nearby,7,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 9.0,11.3524,9.0,162.3689,9,149.1477,9.0,13.14,0.6,PASS
california,A_nearby,8,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 5.0,11.367,53.0,163.2295,53,153.4974,53.0,13.5,0.41,PASS
california,A_nearby,9,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 8.0,8.2798,16.0,161.4791,16,141.2487,16.0,17.06,0.41,PASS
california,A_nearby,10,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 6.0,9.3073,36.0,155.2142,36,141.1371,36.0,15.16,0.59,PASS
california,A_nearby,11,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0,9.8089,9.0,158.8555,9,152.5398,9.0,15.55,0.59,PASS
california,A_nearby,12,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 11.0,10.1364,3.0,156.5526,3,155.7672,3.0,15.37,0.59,PASS
california,A_nearby,13,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 6.0,10.7659,15.0,157.6572,15,162.5012,15.0,15.09,0.96,PASS
california,A_nearby,14,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 9.0,11.1924,2.0,153.4598,2,141.464,2.0,12.64,0.96,PASS
california,A_nearby,15,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 4.0 AND 7.0,10.3158,44.0,157.5725,44,154.9393,44.0,15.02,0.6,PASS
california,A_nearby,16,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 7.0 AND 11.0,11.2154,8.0,165.7042,8,155.3714,8.0,13.85,0.6,PASS
california,A_nearby,17,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc BETWEEN 5.0 AND 9.0,6.3078,40.0,182.0952,40,161.2619,40.0,25.57,0.41,PASS
california,A_nearby,18,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc BETWEEN 6.0 AND 12.0,16.2843,35.0,155.6707,35,169.847,35.0,10.43,0.59,PASS
california,A_nearby,19,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc BETWEEN 5.0 AND 10.0,11.2894,22.0,180.5279,22,163.9099,22.0,14.52,0.96,PASS
california,A_nearby,20,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedHouseVal >= 3.0,11.6764,32.0,161.3885,32,164.0154,32.0,14.05,0.6,PASS
california,A_nearby,21,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedHouseVal >= 4.0,7.5872,14.0,195.7551,14,154.4521,14.0,20.36,0.6,PASS
