dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
nyc_taxi,A_nearby,1,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Midtown',55.1351,51205.0,177.017,51205,177.8297,51205.0,3.23,16.15,PASS
nyc_taxi,A_nearby,2,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Chelsea',11.1945,15973.0,196.239,15973,173.1689,15973.0,15.47,2.91,PASS
nyc_taxi,A_nearby,3,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Gramercy',12.4071,13621.0,174.896,13621,165.7886,13621.0,13.36,2.91,PASS
nyc_taxi,A_nearby,4,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Flatiron',16.1696,5134.0,191.8458,5134,175.5187,5134.0,10.85,2.91,PASS
nyc_taxi,A_nearby,5,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Murray Hill',57.3951,11013.0,192.0916,11013,163.9434,11013.0,2.86,16.15,PASS
nyc_taxi,A_nearby,6,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Hell''s Kitchen',38.1477,22090.0,189.1516,22090,183.2559,22090.0,4.8,11.07,PASS
nyc_taxi,A_nearby,7,SELECT COUNT(*) FROM data WHERE neighbourhood = 'West Village',163.6419,12585.0,182.4254,12585,168.1391,12585.0,1.03,45.44,PASS
nyc_taxi,A_nearby,8,SELECT COUNT(*) FROM data WHERE neighbourhood = 'SoHo',39.671,12672.0,175.5036,12672,168.6615,12672.0,4.25,11.91,PASS
nyc_taxi,A_nearby,9,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Midtown' AND fare_amount >= 10.0,41.0303,45142.0,181.6873,45142,167.9524,45142.0,4.09,14.63,PASS
nyc_taxi,A_nearby,10,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Midtown' AND fare_amount >= 15.0,31.4158,29830.0,174.8161,29830,178.5648,29830.0,5.68,10.09,PASS
nyc_taxi,A_nearby,11,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Midtown' AND fare_amount >= 20.0,28.0996,14125.0,193.9175,14125,163.8181,14125.0,5.83,5.05,PASS
nyc_taxi,A_nearby,12,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Chelsea' AND fare_amount >= 10.0,13.9805,14019.0,183.5771,14019,161.238,14019.0,11.53,2.73,PASS
nyc_taxi,A_nearby,13,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Chelsea' AND fare_amount >= 15.0,16.3283,9229.0,184.3175,9229,164.2955,9229.0,10.06,1.82,PASS
nyc_taxi,A_nearby,14,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Gramercy' AND fare_amount >= 10.0,10.3591,11982.0,181.0047,11982,177.0746,11982.0,17.09,2.73,PASS
nyc_taxi,A_nearby,15,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Gramercy' AND fare_amount >= 20.0,11.3738,3744.0,181.1492,3744,164.0454,3744.0,14.42,0.91,PASS
nyc_taxi,A_nearby,16,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Flatiron' AND fare_amount >= 10.0,10.562,4482.0,179.2561,4482,179.0344,4482.0,16.95,2.73,PASS
nyc_taxi,A_nearby,17,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Murray Hill' AND fare_amount >= 12.0,44.9608,8552.0,179.7104,8552,164.3501,8552.0,3.66,13.12,PASS
nyc_taxi,A_nearby,18,SELECT COUNT(*) FROM data WHERE neighbourhood = 'Hell''s Kitchen' AND fare_amount >= 10.0,31.9636,19503.0,188.8973,19503,165.8897,19503.0,5.19,9.87,PASS
nyc_taxi,A_nearby,19,SELECT COUNT(*) FROM data WHERE neighbourhood = 'West Village' AND fare_amount >= 15.0,91.4425,7393.0,172.5129,7393,167.554,7393.0,1.83,26.49,PASS
nyc_taxi,A_nearby,20,SELECT COUNT(*) FROM data WHERE neighbourhood = 'SoHo' AND fare_amount >= 12.0,29.9336,9857.0,198.9182,9857,168.0115,9857.0,5.61,9.68,PASS
