dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california_real,A_nearby,1,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale',36.3911,14296.0,172.4878,14296,160.7548,14296.0,4.42,10.7,PASS
california_real,A_nearby,2,SELECT COUNT(*) FROM data WHERE place = 'Mountain View',29.6231,13899.0,166.3848,13899,155.6254,13899.0,5.25,10.7,PASS
california_real,A_nearby,3,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto',18.0679,11047.0,166.7156,11047,165.9729,11047.0,9.19,7.04,PASS
california_real,A_nearby,4,SELECT COUNT(*) FROM data WHERE place = 'Cupertino',27.665,11571.0,187.3703,11571,174.0874,11571.0,6.29,10.7,PASS
california_real,A_nearby,5,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 5.0,8.1361,6791.0,158.543,6791,164.7807,6791.0,20.25,3.38,PASS
california_real,A_nearby,6,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0,10.7035,2271.0,163.6258,2271,173.4261,2271.0,16.2,3.38,PASS
california_real,A_nearby,7,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 9.0,7.0039,424.0,163.4751,424,166.5264,424.0,23.78,3.38,PASS
california_real,A_nearby,8,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 5.0,8.443,6939.0,188.7908,6939,161.3257,6939.0,19.11,3.38,PASS
california_real,A_nearby,9,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 8.0,10.0511,1590.0,164.3884,1590,168.4088,1590.0,16.76,3.38,PASS
california_real,A_nearby,10,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 6.0,10.2946,4227.0,159.8494,4227,151.7615,4227.0,14.74,3.38,PASS
california_real,A_nearby,11,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0,6.6886,1180.0,169.4527,1180,153.1963,1180.0,22.9,3.38,PASS
california_real,A_nearby,12,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 11.0,7.8507,429.0,162.9662,429,178.8986,429.0,22.79,3.38,PASS
california_real,A_nearby,13,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 6.0,9.3208,5501.0,157.8156,5501,183.9969,5501.0,19.74,3.38,PASS
california_real,A_nearby,14,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 9.0,8.9605,1067.0,166.0935,1067,157.0652,1067.0,17.53,3.38,PASS
california_real,A_nearby,15,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 4.0 AND 7.0,6.4475,8840.0,165.0307,8840,159.7684,8840.0,24.78,3.38,PASS
california_real,A_nearby,16,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 7.0 AND 11.0,7.7468,2218.0,159.0964,2218,175.9496,2218.0,22.71,3.38,PASS
california_real,A_nearby,17,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc BETWEEN 5.0 AND 9.0,10.1916,6095.0,181.1,6095,166.4909,6095.0,16.34,3.38,PASS
california_real,A_nearby,18,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc BETWEEN 6.0 AND 12.0,10.6279,3908.0,169.0576,3908,181.9289,3908.0,17.12,3.38,PASS
california_real,A_nearby,19,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc BETWEEN 5.0 AND 10.0,6.5257,7443.0,160.4147,7443,163.9986,7443.0,25.13,3.38,PASS
